size,threads,run,seconds,mbps,exit_code
100MB,32,99,3.320593375,30.11,0
100MB,32,100,3.319433996,30.12,0
250MB,32,1,7.326801358,34.12,0
250MB,32,2,7.830038000,31.92,0
250MB,32,3,7.323825908,34.13,0
250MB,32,4,7.326096689,34.12,0
250MB,32,5,6.824875581,36.63,0
250MB,32,6,7.325561791,34.12,0
250MB,32,7,7.325238114,34.12,0
250MB,32,8,7.324653060,34.13,0
250MB,32,9,7.325439236,34.12,0
250MB,32,10,6.824286727,36.63,0
250MB,32,11,6.826394840,36.62,0
250MB,32,12,6.830057801,36.60,0
250MB,32,13,7.327764592,34.11,0
250MB,32,14,6.823339913,36.63,0
250MB,32,15,6.823069258,36.64,0
250MB,32,16,6.825284620,36.62,0
250MB,32,17,7.324488936,34.13,0
250MB,32,18,7.824295258,31.95,0
250MB,32,19,7.325324952,34.12,0
250MB,32,20,7.323664074,34.13,0
250MB,32,21,7.324461882,34.13,0
250MB,32,22,7.323318114,34.13,0
250MB,32,23,7.827112529,31.94,0
250MB,32,24,7.826766810,31.94,0
250MB,32,25,7.326594158,34.12,0
250MB,32,26,7.325248799,34.12,0
250MB,32,27,7.325098085,34.12,0
250MB,32,28,7.323267688,34.13,0
250MB,32,29,7.325623180,34.12,0
250MB,32,30,6.826323378,36.62,0
250MB,32,31,6.824786542,36.63,0
250MB,32,32,7.325370292,34.12,0
250MB,32,33,6.823714952,36.63,0
250MB,32,34,6.822562362,36.64,0
250MB,32,35,7.323677927,34.13,0
250MB,32,36,7.324992858,34.12,0
250MB,32,37,6.824567586,36.63,0
250MB,32,38,6.824917116,36.63,0
250MB,32,39,6.824377820,36.63,0
250MB,32,40,6.824515537,36.63,0
250MB,32,41,7.325588847,34.12,0
250MB,32,42,7.329274940,34.10,0
250MB,32,43,6.824238722,36.63,0
250MB,32,44,7.225292823,34.60,0
250MB,32,45,7.827099710,31.94,0
250MB,32,46,7.327544763,34.11,0
250MB,32,47,7.324652115,34.13,0
250MB,32,48,7.826136353,31.94,0
250MB,32,49,7.827324575,31.93,0
250MB,32,50,7.826816565,31.94,0
250MB,32,51,7.827270108,31.93,0
250MB,32,52,8.325475472,30.02,0
250MB,32,53,7.727460734,32.35,0
250MB,32,54,7.326198487,34.12,0
250MB,32,55,7.325888831,34.12,0
250MB,32,56,6.824089494,36.63,0
250MB,32,57,8.226090252,30.39,0
250MB,32,58,7.829758035,31.92,0
250MB,32,59,7.324776445,34.13,0
250MB,32,60,6.825413635,36.62,0
250MB,32,61,6.824552235,36.63,0
250MB,32,62,6.824154442,36.63,0
250MB,32,63,7.324687027,34.13,0
250MB,32,64,7.324859303,34.13,0
250MB,32,65,7.324634892,34.13,0
250MB,32,66,7.324469383,34.13,0
250MB,32,67,7.327222615,34.11,0
250MB,32,68,7.325764718,34.12,0
250MB,32,69,7.724647591,32.36,0
250MB,32,70,7.324618083,34.13,0
250MB,32,71,7.727986152,32.34,0
250MB,32,72,7.327178711,34.11,0
250MB,32,73,7.224325805,34.60,0
250MB,32,74,7.322457252,34.14,0
250MB,32,75,7.327095688,34.11,0
250MB,32,76,6.823767940,36.63,0
250MB,32,77,6.824136047,36.63,0
250MB,32,78,7.324407182,34.13,0
250MB,32,79,7.323042079,34.13,0
250MB,32,80,7.725294669,32.36,0
250MB,32,81,7.322168353,34.14,0
250MB,32,82,7.324430661,34.13,0
250MB,32,83,7.324924280,34.13,0
250MB,32,84,7.325259384,34.12,0
250MB,32,85,7.323327199,34.13,0
250MB,32,86,7.826987273,31.94,0
250MB,32,87,7.723936167,32.36,0
250MB,32,88,7.324535083,34.13,0
250MB,32,89,7.825239344,31.94,0
250MB,32,90,7.824599120,31.95,0
250MB,32,91,7.829002587,31.93,0
250MB,32,92,7.826636429,31.94,0
250MB,32,93,7.826197826,31.94,0
250MB,32,94,7.324541819,34.13,0
250MB,32,95,8.327958139,30.01,0
250MB,32,96,7.826657372,31.94,0
250MB,32,97,8.228038470,30.38,0
250MB,32,98,7.827103415,31.94,0
250MB,32,99,8.328532343,30.01,0
250MB,32,100,9.829418657,25.43,0
500MB,32,1,16.846001956,29.68,0
500MB,32,2,18.347652524,27.25,0
500MB,32,3,17.250830258,28.98,0
500MB,32,4,16.840863020,29.68,0
500MB,32,5,16.337456344,30.60,0
500MB,32,6,18.843173332,26.53,0
500MB,32,7,17.841981031,28.02,0
500MB,32,8,16.339813571,30.60,0
500MB,32,9,16.339538693,30.60,0
500MB,32,10,16.838677733,29.69,0
500MB,32,11,16.838519767,29.69,0
500MB,32,12,18.342337439,27.25,0
500MB,32,13,17.842658379,28.02,0
500MB,32,14,17.840694650,28.02,0
500MB,32,15,20.353668831,24.56,0
